名称,排名,评分,作者,简介,图片
肖申克的救赎,1,9.7,"
                            导演: 弗兰克·德拉邦特 Frank Darabont   主演: 蒂姆·罗宾斯 Tim Robbins /...
                            1994 / 美国 / 犯罪 剧情
                        ",希望让人自由。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480747492.jpg
霸王别姬,2,9.6,"
                            导演: 陈凯歌 Kaige Chen   主演: 张国荣 Leslie Cheung / 张丰毅 Fengyi Zha...
                            1993 / 中国大陆 中国香港 / 剧情 爱情 同性
                        ",风华绝代。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561716440.jpg
阿甘正传,3,9.5,"
                            导演: 罗伯特·泽米吉斯 Robert Zemeckis   主演: 汤姆·汉克斯 Tom Hanks / ...
                            1994 / 美国 / 剧情 爱情
                        ",一部美国近现代史。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2372307693.jpg
这个杀手不太冷,4,9.4,"
                            导演: 吕克·贝松 Luc Besson   主演: 让·雷诺 Jean Reno / 娜塔莉·波特曼 ...
                            1994 / 法国 美国 / 剧情 动作 犯罪
                        ",怪蜀黍和小萝莉不得不说的故事。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p511118051.jpg
泰坦尼克号,5,9.4,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 莱昂纳多·迪卡普里奥 Leonardo...
                            1997 / 美国 墨西哥 澳大利亚 加拿大 / 剧情 爱情 灾难
                        ",失去的才是永恒的。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p457760035.jpg
美丽人生,6,9.6,"
                            导演: 罗伯托·贝尼尼 Roberto Benigni   主演: 罗伯托·贝尼尼 Roberto Beni...
                            1997 / 意大利 / 剧情 喜剧 爱情 战争
                        ",最美的谎言。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2578474613.jpg
千与千寻,7,9.4,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 柊瑠美 Rumi Hîragi / 入野自由 Miy...
                            2001 / 日本 / 剧情 动画 奇幻
                        ",最好的宫崎骏，最好的久石让。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2557573348.jpg
辛德勒的名单,8,9.5,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 连姆·尼森 Liam Neeson...
                            1993 / 美国 / 剧情 历史 战争
                        ",拯救一个人，就是拯救整个世界。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p492406163.jpg
盗梦空间,9,9.3,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 莱昂纳多·迪卡普里奥 Le...
                            2010 / 美国 英国 / 剧情 科幻 悬疑 冒险
                        ",诺兰给了我们一场无法盗取的梦。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2616355133.jpg
忠犬八公的故事,10,9.4,"
                            导演: 莱塞·霍尔斯道姆 Lasse Hallström   主演: 理查·基尔 Richard Ger...
                            2009 / 美国 英国 / 剧情
                        ",永远都不能忘记你所爱的人。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2587099240.jpg
星际穿越,11,9.3,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 马修·麦康纳 Matthew Mc...
                            2014 / 美国 英国 加拿大 / 剧情 科幻 冒险
                        ",爱是一种力量，让我们超越时空感知它的存在。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614988097.jpg
楚门的世界,12,9.3,"
                            导演: 彼得·威尔 Peter Weir   主演: 金·凯瑞 Jim Carrey / 劳拉·琳妮 Lau...
                            1998 / 美国 / 剧情 科幻
                        ",如果再也不能见到你，祝你早安，午安，晚安。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p479682972.jpg
海上钢琴师,13,9.3,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 蒂姆·罗斯 Tim Roth / ...
                            1998 / 意大利 / 剧情 音乐
                        ",每个人都要走一条自己坚定了的路，就算是粉身碎骨。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2574551676.jpg
三傻大闹宝莱坞,14,9.2,"
                            导演: 拉库马·希拉尼 Rajkumar Hirani   主演: 阿米尔·汗 Aamir Khan / 卡...
                            2009 / 印度 / 剧情 喜剧 爱情 歌舞
                        ",英俊版憨豆，高情商版谢耳朵。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p579729551.jpg
机器人总动员,15,9.3,"
                            导演: 安德鲁·斯坦顿 Andrew Stanton   主演: 本·贝尔特 Ben Burtt / 艾丽...
                            2008 / 美国 / 科幻 动画 冒险
                        ",小瓦力，大人生。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1461851991.jpg
放牛班的春天,16,9.3,"
                            导演: 克里斯托夫·巴拉蒂 Christophe Barratier   主演: 热拉尔·朱尼奥 Gé...
                            2004 / 法国 瑞士 德国 / 剧情 喜剧 音乐
                        ",天籁一般的童声，是最接近上帝的存在。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910824951.jpg
无间道,17,9.3,"
                            导演: 刘伟强 / 麦兆辉   主演: 刘德华 / 梁朝伟 / 黄秋生
                            2002 / 中国香港 / 剧情 犯罪 惊悚
                        ",香港电影史上永不过时的杰作。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564556863.jpg
疯狂动物城,18,9.2,"
                            导演: 拜伦·霍华德 Byron Howard / 瑞奇·摩尔 Rich Moore   主演: 金妮弗·...
                            2016 / 美国 / 喜剧 动画 冒险
                        ",迪士尼给我们营造的乌托邦就是这样，永远善良勇敢，永远出乎意料。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500649.jpg
大话西游之大圣娶亲,19,9.2,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
                            1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装
                        ",一生所爱。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2455050536.jpg
熔炉,20,9.3,"
                            导演: 黄东赫 Dong-hyuk Hwang   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung /...
                            2011 / 韩国 / 剧情
                        ",我们一路奋战不是为了改变世界，而是为了不让世界改变我们。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1363250216.jpg
教父,21,9.3,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 马龙·白兰度 M...
                            1972 / 美国 / 剧情 犯罪
                        ",千万不要记恨你的对手，这样会让你失去理智。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p616779645.jpg
当幸福来敲门,22,9.1,"
                            导演: 加布里尔·穆奇诺 Gabriele Muccino   主演: 威尔·史密斯 Will Smith ...
                            2006 / 美国 / 剧情 传记 家庭
                        ",平民励志片。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614359276.jpg
龙猫,23,9.2,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 日高法子 Noriko Hidaka / 坂本千夏 Ch...
                            1988 / 日本 / 动画 奇幻 冒险
                        ",人人心中都有个龙猫，童年就永远不会消失。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2540924496.jpg
怦然心动,24,9.1,"
                            导演: 罗伯·莱纳 Rob Reiner   主演: 玛德琳·卡罗尔 Madeline Carroll / 卡...
                            2010 / 美国 / 剧情 喜剧 爱情
                        ",真正的幸福是来自内心深处。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p501177648.jpg
控方证人,25,9.6,"
                            导演: 比利·怀尔德 Billy Wilder   主演: 泰隆·鲍华 Tyrone Power / 玛琳·...
                            1957 / 美国 / 剧情 犯罪 悬疑
                        ",比利·怀德满分作品。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1505392928.jpg
触不可及,26,9.3,"
                            导演: 奥利维·那卡什 Olivier Nakache / 艾力克·托兰达 Eric Toledano   主...
                            2011 / 法国 / 剧情 喜剧
                        ",满满温情的高雅喜剧。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1454261925.jpg
蝙蝠侠：黑暗骑士,27,9.2,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...
                            2008 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
                        ",无尽的黑暗。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p462657443.jpg
末代皇帝,28,9.3,"
                            导演: 贝纳尔多·贝托鲁奇 Bernardo Bertolucci   主演: 尊龙 John Lone / 陈...
                            1987 / 英国 意大利 中国大陆 法国 / 剧情 传记 历史
                        ",“不要跟我比惨，我比你更惨”再适合这部电影不过了。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p452089833.jpg
寻梦环游记,29,9.1,"
                            导演: 李·昂克里奇 Lee Unkrich / 阿德里安·莫利纳 Adrian Molina   主演: ...
                            2017 / 美国 / 喜剧 动画 奇幻 音乐
                        ",死亡不是真的逝去，遗忘才是永恒的消亡。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500706.jpg
活着,30,9.3,"
                            导演: 张艺谋 Yimou Zhang   主演: 葛优 You Ge / 巩俐 Li Gong / 姜武 Wu Jiang
                            1994 / 中国大陆 中国香港 / 剧情 历史 家庭
                        ",张艺谋最好的电影。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2524040532.jpg
指环王3：王者无敌,31,9.3,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2003 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        ",史诗的终章。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2642829472.jpg
乱世佳人,32,9.3,"
                            导演: 维克多·弗莱明 Victor Fleming / 乔治·库克 George Cukor   主演: 费...
                            1939 / 美国 / 剧情 历史 爱情 战争
                        ",Tomorrow is another day.,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1963126880.jpg
何以为家,33,9.1,"
                            导演: 娜丁·拉巴基 Nadine Labaki   主演: 扎因·拉费阿 Zain al-Rafeea / ...
                            2018 / 黎巴嫩 美国 法国 塞浦路斯 卡塔尔 英国 / 剧情
                        ",凝视卑弱生命，用电影改变命运。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555295759.jpg
哈利·波特与魔法石,34,9.1,"
                            导演: Chris Columbus   主演: Daniel Radcliffe / Emma Watson / Rupert Grint
                            2001 / 美国 英国 / 奇幻 冒险
                        ",童话世界的开端。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614949805.jpg
飞屋环游记,35,9.0,"
                            导演: 彼特·道格特 Pete Docter / 鲍勃·彼德森 Bob Peterson   主演: 爱德...
                            2009 / 美国 / 剧情 喜剧 动画 冒险
                        ",最后那些最无聊的事情，才是最值得怀念的。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2363116942.jpg
素媛,36,9.3,"
                            导演: 李濬益 Jun-ik Lee   主演: 薛景求 Kyung-gu Sol / 严志媛 Ji-won Uhm ...
                            2013 / 韩国 / 剧情
                        ",受过伤害的人总是笑得最开心，因为他们不愿意让身边的人承受一样的痛苦。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2118532944.jpg
摔跤吧！爸爸,37,9.0,"
                            导演: 涅提·蒂瓦里 Nitesh Tiwari   主演: 阿米尔·汗 Aamir Khan / 法缇玛...
                            2016 / 印度 / 剧情 传记 运动 家庭
                        ",你不是在为你一个人战斗，你要让千千万万的女性看到女生并不是只能相夫教子。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2401676338.jpg
少年派的奇幻漂流,38,9.1,"
                            导演: 李安 Ang Lee   主演: 苏拉·沙玛 Suraj Sharma / 伊尔凡·可汗 Irrfan...
                            2012 / 美国 中国台湾 英国 加拿大 / 剧情 奇幻 冒险
                        ",瑰丽壮观、无人能及的冒险之旅。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1784592701.jpg
十二怒汉,39,9.4,"
                            导演: Sidney Lumet   主演: 亨利·方达 Henry Fonda / 马丁·鲍尔萨姆 Marti...
                            1957 / 美国 / 剧情
                        ",1957年的理想主义。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2173577632.jpg
哈尔的移动城堡,40,9.1,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 倍赏千惠子 Chieko Baishô / 木村拓...
                            2004 / 日本 / 动画 奇幻 冒险
                        ",带着心爱的人在天空飞翔。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2174346180.jpg
鬼子来了,41,9.3,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 香川照之 Teruyuki Kagawa /...
                            2000 / 中国大陆 / 剧情 喜剧
                        ",对敌人的仁慈，就是对自己残忍。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2553104888.jpg
我不是药神,42,9.0,"
                            导演: 文牧野 Muye Wen   主演: 徐峥 Zheng Xu / 王传君 Chuanjun Wang / 周...
                            2018 / 中国大陆 / 剧情 喜剧
                        ",对我们国家而言，这样的电影多一部是一部。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561305376.jpg
大话西游之月光宝盒,43,9.0,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 周星驰 Stephen Chow / 吴孟达 Man Tat Ng...
                            1995 / 中国香港 中国大陆 / 喜剧 爱情 奇幻 古装
                        ",旷古烁今。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561721372.jpg
天空之城,44,9.1,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 田中真弓 Mayumi Tanaka / 横泽启子 Ke...
                            1986 / 日本 / 动画 奇幻 冒险
                        ",对天空的追逐，永不停止。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1446261379.jpg
天堂电影院,45,9.2,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 菲利普·努瓦雷 Philipp...
                            1988 / 意大利 法国 / 剧情 爱情
                        ",那些吻戏，那些青春，都在影院的黑暗里被泪水冲刷得无比清晰。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2653054340.jpg
闻香识女人,46,9.1,"
                            导演: 马丁·布莱斯 Martin Brest   主演: 阿尔·帕西诺 Al Pacino / 克里斯...
                            1992 / 美国 / 剧情
                        ",史上最美的探戈。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2550757929.jpg
指环王2：双塔奇兵,47,9.1,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2002 / 美国 新西兰 / 剧情 动作 奇幻 冒险
                        ",承前启后的史诗篇章。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640236255.jpg
罗马假日,48,9.0,"
                            导演: 威廉·惠勒 William Wyler   主演: 奥黛丽·赫本 Audrey Hepburn / 格...
                            1953 / 美国 / 喜剧 剧情 爱情
                        ",爱情哪怕只有一天。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2189265085.jpg
猫鼠游戏,49,9.1,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 莱昂纳多·迪卡普里奥 L...
                            2002 / 美国 加拿大 / 传记 犯罪 剧情
                        ",骗子大师和执著警探的你追我跑故事。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453924541.jpg
辩护人,50,9.2,"
                            导演: 杨宇硕 Woo-seok Yang   主演: 宋康昊 Kang-ho Song / 金英爱 Yeong-ae...
                            2013 / 韩国 / 剧情
                        ",电影的现实意义大过电影本身。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2158166535.jpg
指环王1：护戒使者,51,9.1,"
                            导演: 彼得·杰克逊 Peter Jackson   主演: 伊利亚·伍德 Elijah Wood / 西恩...
                            2001 / 新西兰 美国 / 剧情 动作 奇幻 冒险
                        ",传说的开始。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2640234840.jpg
大闹天宫,52,9.4,"
                            导演: 万籁鸣 Laiming Wan   主演: 邱岳峰 Yuefeng Qiu / 富润生 Runsheng Fu...
                            1961(中国大陆) / 1964(中国大陆) / 1978(中国大陆) / 2004(中国大陆) / 中国大陆 / 动画 奇幻
                        ",经典之作，历久弥新。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2184505167.jpg
钢琴家,53,9.2,"
                            导演: 罗曼·波兰斯基 Roman Polanski   主演: 艾德里安·布洛迪 Adrien Brod...
                            2002 / 英国 法国 波兰 德国 美国 / 剧情 传记 战争 音乐
                        ",音乐能化解仇恨。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p792376093.jpg
狮子王,54,9.1,"
                            导演: Roger Allers / 罗伯·明可夫 Rob Minkoff   主演: 乔纳森·泰勒·托马...
                            1994 / 美国 / 动画 冒险 歌舞
                        ",动物版《哈姆雷特》。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2277799019.jpg
教父2,55,9.2,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...
                            1974 / 美国 / 剧情 犯罪
                        ",优雅的孤独。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2194138787.jpg
死亡诗社,56,9.1,"
                            导演: 彼得·威尔 Peter Weir   主演: 罗宾·威廉姆斯 Robin Williams / 罗伯...
                            1989 / 美国 / 剧情
                        ",当一个死水般的体制内出现一个活跃的变数时，所有的腐臭都站在了光明的对面。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2575465690.jpg
搏击俱乐部,57,9.0,"
                            导演: 大卫·芬奇 David Fincher   主演: 爱德华·诺顿 Edward Norton / 布拉...
                            1999 / 美国 德国 意大利 / 剧情 动作 悬疑 惊悚
                        ",邪恶与平庸蛰伏于同一个母体，在特定的时间互相对峙。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910926158.jpg
让子弹飞,58,8.9,"
                            导演: 姜文 Wen Jiang   主演: 姜文 Wen Jiang / 葛优 You Ge / 周润发 Yun-F...
                            2010 / 中国大陆 中国香港 / 剧情 喜剧 动作 西部
                        ",你给我翻译翻译，神马叫做TMD的惊喜。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1512562287.jpg
黑客帝国,59,9.1,"
                            导演: 安迪·沃卓斯基 Andy Wachowski / 拉娜·沃卓斯基 Lana Wachowski   主...
                            1999 / 美国 / 动作 科幻
                        ",视觉革命。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p451926968.jpg
绿皮书,60,8.9,"
                            导演: 彼得·法雷里 Peter Farrelly   主演: 维果·莫腾森 Viggo Mortensen /...
                            2018 / 美国 中国大陆 / 剧情 喜剧 传记 音乐
                        ",去除成见，需要勇气。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2549177902.jpg
饮食男女,61,9.1,"
                            导演: 李安 Ang Lee   主演: 郎雄 Sihung Lung / 杨贵媚 Kuei-Mei Yang / 吴...
                            1994 / 中国台湾 美国 / 剧情 家庭
                        ",人生不能像做菜，把所有的料都准备好了才下锅。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910899751.jpg
美丽心灵,62,9.0,"
                            导演: 朗·霍华德 Ron Howard   主演: 罗素·克劳 Russell Crowe / 艾德·哈...
                            2001 / 美国 / 传记 剧情
                        ",爱是一切逻辑和原由。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1665997400.jpg
海蒂和爷爷,63,9.2,"
                            导演: 阿兰·葛斯彭纳 Alain Gsponer   主演: 阿努克·斯特芬 Anuk Steffen /...
                            2015 / 德国 瑞士 / 剧情 冒险 家庭
                        ",如果生活中有什么使你感到快乐，那就去做吧！不要管别人说什么。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2554525534.jpg
窃听风暴,64,9.2,"
                            导演: 弗洛里安·亨克尔·冯·多纳斯马尔克 Florian Henckel von Donnersmarck  &n...
                            2006 / 德国 / 剧情 悬疑
                        ",别样人生。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1808872109.jpg
两杆大烟枪,65,9.1,"
                            导演: Guy Ritchie   主演: Jason Flemyng / Dexter Fletcher / Nick Moran
                            1998 / 英国 / 剧情 喜剧 犯罪
                        ",4个臭皮匠顶个诸葛亮，盖·里奇果然不是盖的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p792443418.jpg
本杰明·巴顿奇事,66,8.9,"
                            导演: 大卫·芬奇 David Fincher   主演: 凯特·布兰切特 Cate Blanchett / ...
                            2008 / 美国 / 剧情 爱情 奇幻
                        ",在时间之河里感受溺水之苦。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2192535722.jpg
情书,67,8.9,"
                            导演: 岩井俊二 Shunji Iwai   主演: 中山美穗 Miho Nakayama / 丰川悦司 Ets...
                            1995 / 日本 / 剧情 爱情
                        ",暗恋的极致。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2648230660.jpg
看不见的客人,68,8.8,"
                            导演: 奥里奥尔·保罗 Oriol Paulo   主演: 马里奥·卡萨斯 Mario Casas / 阿...
                            2016 / 西班牙 / 剧情 犯罪 悬疑 惊悚
                        ",你以为你以为的就是你以为的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2498971355.jpg
飞越疯人院,69,9.1,"
                            导演: 米洛斯·福尔曼 Miloš Forman   主演: 杰克·尼科尔森 Jack Nichols...
                            1975 / 美国 / 剧情
                        ",自由万岁。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p792238287.jpg
穿条纹睡衣的男孩,70,9.1,"
                            导演: 马克·赫尔曼 Mark Herman   主演: 阿萨·巴特菲尔德 Asa Butterfield ...
                            2008 / 英国 美国 / 剧情 战争
                        ",尽管有些不切实际的幻想，这部电影依旧是一部感人肺腑的佳作。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1473670352.jpg
西西里的美丽传说,71,8.9,"
                            导演: 朱塞佩·托纳多雷 Giuseppe Tornatore   主演: 莫妮卡·贝鲁奇 Monica ...
                            2000 / 意大利 美国 / 剧情 战争 情色
                        ",美丽无罪。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2441988159.jpg
拯救大兵瑞恩,72,9.0,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...
                            1998 / 美国 / 剧情 战争
                        ",美利坚精神输出大片No1.,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1014542496.jpg
小鞋子,73,9.2,"
                            导演: 马基德·马基迪 Majid Majidi   主演: 默罕默德·阿米尔·纳吉 Mohamma...
                            1997 / 伊朗 / 剧情 儿童 家庭
                        ",奔跑的孩子是天使。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2165511465.jpg
音乐之声,74,9.1,"
                            导演: 罗伯特·怀斯 Robert Wise   主演: 朱莉·安德鲁斯 Julie Andrews / 克...
                            1965 / 美国 / 剧情 传记 爱情 歌舞
                        ",用音乐化解仇恨，让歌声串起美好。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p453788577.jpg
阿凡达,75,8.8,"
                            导演: 詹姆斯·卡梅隆 James Cameron   主演: 萨姆·沃辛顿 Sam Worthington ...
                            2009 / 美国 / 动作 科幻 冒险
                        ",绝对意义上的美轮美奂。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2634997853.jpg
海豚湾,76,9.3,"
                            导演: 路易·西霍尤斯 Louie Psihoyos   主演: Richard O'Barry / 路易·西霍...
                            2009 / 美国 / 纪录片
                        ",海豚的微笑，是世界上最高明的伪装。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2559579779.jpg
致命魔术,77,8.9,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 休·杰克曼 Hugh Jackman...
                            2006 / 英国 美国 / 剧情 悬疑 惊悚
                        ",孪生蝙蝠侠大战克隆金刚狼。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480383375.jpg
美国往事,78,9.2,"
                            导演: 赛尔乔·莱翁内 Sergio Leone   主演: 罗伯特·德尼罗 Robert De Niro ...
                            1984 / 美国 意大利 / 犯罪 剧情
                        ",往事如烟，无处祭奠。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p477229647.jpg
沉默的羔羊,79,8.9,"
                            导演: 乔纳森·戴米 Jonathan Demme   主演: 朱迪·福斯特 Jodie Foster / 安...
                            1991 / 美国 / 剧情 犯罪 惊悚
                        ",安东尼·霍普金斯的顶级表演。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1593414327.jpg
禁闭岛,80,8.8,"
                            导演: Martin Scorsese   主演: 莱昂纳多·迪卡普里奥 Leonardo DiCaprio / ...
                            2010 / 美国 / 剧情 悬疑 惊悚
                        ",昔日翩翩少年，今日大腹便便。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1832875827.jpg
蝴蝶效应,81,8.8,"
                            导演: 埃里克·布雷斯 Eric Bress / J·麦基·格鲁伯 J. Mackye Gruber   主...
                            2004 / 美国 加拿大 / 剧情 悬疑 科幻 惊悚
                        ",人的命运被自己瞬间的抉择改变。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2209066019.jpg
低俗小说,82,8.9,"
                            导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 约翰·特拉沃尔塔 John Tra...
                            1994 / 美国 / 剧情 喜剧 犯罪
                        ",故事的高级讲法。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910902213.jpg
心灵捕手,83,8.9,"
                            导演: 格斯·范·桑特 Gus Van Sant   主演: 马特·达蒙 Matt Damon / 罗宾·...
                            1997 / 美国 / 剧情
                        ",人生中应该拥有这样的一段豁然开朗。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480965695.jpg
