名称,排名,评分,作者,简介,图片
布达佩斯大饭店,84,8.9,"
                            导演: 韦斯·安德森 Wes Anderson   主演: 拉尔夫·费因斯 Ralph Fiennes / ...
                            2014 / 美国 德国 英国 / 剧情 喜剧 冒险
                        ",小清新的故事里注入了大历史的情怀。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2178872593.jpg
春光乍泄,85,8.9,"
                            导演: 王家卫 Kar Wai Wong   主演: 张国荣 Leslie Cheung / 梁朝伟 Tony Leu...
                            1997 / 中国香港 日本 韩国 / 剧情 爱情 同性
                        ",爱情纠缠，男女一致。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p465939041.jpg
七宗罪,86,8.8,"
                            导演: 大卫·芬奇 David Fincher   主演: 摩根·弗里曼 Morgan Freeman / 布...
                            1995 / 美国 / 剧情 犯罪 悬疑 惊悚
                        ",警察抓小偷，老鼠玩死猫。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219586434.jpg
哈利·波特与死亡圣器(下),87,8.9,"
                            导演: 大卫·叶茨 David Yates   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe...
                            2011 / 美国 英国 / 奇幻 冒险
                        ",10年的完美句点。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p917846733.jpg
摩登时代,88,9.3,"
                            导演: 查理·卓别林 Charles Chaplin   主演: 查理·卓别林 Charles Chaplin ...
                            1936 / 美国 / 剧情 喜剧 爱情
                        ",大时代中的人生，小人物的悲喜。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2263408369.jpg
喜剧之王,89,8.8,"
                            导演: 周星驰 Stephen Chow / 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Ch...
                            1999 / 中国香港 / 喜剧 剧情 爱情
                        ",我是一个演员。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2579932167.jpg
被嫌弃的松子的一生,90,8.9,"
                            导演: 中岛哲也 Tetsuya Nakashima   主演: 中谷美纪 Miki Nakatani / 瑛太 E...
                            2006 / 日本 / 剧情 歌舞
                        ",以戏谑来戏谑戏谑。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p884763596.jpg
致命ID,91,8.8,"
                            导演: 詹姆斯·曼高德 James Mangold   主演: 约翰·库萨克 John Cusack / 雷...
                            2003 / 美国 / 剧情 悬疑 惊悚
                        ",最不可能的那个人永远是最可能的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2558364386.jpg
杀人回忆,92,8.9,"
                            导演: 奉俊昊 Joon-ho Bong   主演: 宋康昊 Kang-ho Song / 金相庆 Sang-kyun...
                            2003 / 韩国 / 剧情 动作 犯罪 悬疑 惊悚
                        ",关于连环杀人悬案的集体回忆。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p657823840.jpg
加勒比海盗,93,8.8,"
                            导演: 戈尔·维宾斯基 Gore Verbinski   主演: 约翰尼·德普 Johnny Depp / ...
                            2003 / 美国 / 动作 冒险 奇幻
                        ",约翰尼·德普的独角戏。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1596085504.jpg
剪刀手爱德华,94,8.7,"
                            导演: 蒂姆·波顿 Tim Burton   主演: 约翰尼·德普 Johnny Depp / 薇诺娜·...
                            1990 / 美国 / 剧情 奇幻 爱情
                        ",浪漫忧郁的成人童话。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p480956937.jpg
勇敢的心,95,8.9,"
                            导演: 梅尔·吉布森 Mel Gibson   主演: 梅尔·吉布森 Mel Gibson / 苏菲·玛...
                            1995 / 美国 / 动作 传记 剧情 历史 战争
                        ",史诗大片的典范。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2004174709.jpg
狩猎,96,9.1,"
                            导演: 托马斯·温特伯格 Thomas Vinterberg   主演: 麦斯·米科尔森 Mads Mik...
                            2012 / 丹麦 瑞典 / 剧情
                        ",人言可畏。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1546987967.jpg
请以你的名字呼唤我,97,8.9,"
                            导演: 卢卡·瓜达尼诺 Luca Guadagnino   主演: 艾米·汉莫 Armie Hammer / ...
                            2017 / 意大利 法国 巴西 美国 荷兰 德国 / 剧情 爱情 同性
                        ",沉醉在电影的情感和视听氛围中无法自拔。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2505525050.jpg
红辣椒,98,9.0,"
                            导演: 今敏 Satoshi Kon   主演: 林原惠美 Megumi Hayashibara / 江守彻 Toru...
                            2006 / 日本 / 动画 悬疑 科幻 惊悚
                        ",梦的勾结。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p456825720.jpg
断背山,99,8.8,"
                            导演: 李安 Ang Lee   主演: 希斯·莱杰 Heath Ledger / 杰克·吉伦哈尔 Jake...
                            2005 / 美国 加拿大 / 剧情 爱情 同性 家庭
                        ",每个人心中都有一座断背山。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2604889017.jpg
7号房的礼物,100,8.9,"
                            导演: 李焕庆 Hwan-kyeong Lee   主演: 柳承龙 Seung-yong Ryoo / 朴信惠 Shi...
                            2013 / 韩国 / 剧情 喜剧 家庭
                        ",《我是山姆》的《美丽人生》。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1816276065.jpg
天使爱美丽,101,8.7,"
                            导演: 让-皮埃尔·热内 Jean-Pierre Jeunet   主演: 奥黛丽·塔图 Audrey Tau...
                            2001 / 法国 德国 / 剧情 喜剧 爱情
                        ",法式小清新。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2447590313.jpg
幽灵公主,102,8.9,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 松田洋治 Yôji Matsuda / 石田百合...
                            1997 / 日本 / 动画 奇幻 冒险
                        ",人与自然的战争史诗。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1613191025.jpg
小森林 夏秋篇,103,9.0,"
                            导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...
                            2014 / 日本 / 剧情
                        ",那些静得只能听见呼吸的日子里，你明白孤独即生活。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564498893.jpg
超脱,104,8.9,"
                            导演: 托尼·凯耶 Tony Kaye   主演: 艾德里安·布洛迪 Adrien Brody / 马西...
                            2011 / 美国 / 剧情
                        ",穷尽一生，我们要学会的，不过是彼此拥抱。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1305562621.jpg
功夫,105,8.7,"
                            导演: 周星驰 Stephen Chow   主演: 周星驰 Stephen Chow / 元秋 Qiu Yuen / ...
                            2004 / 中国大陆 中国香港 / 动作 喜剧 犯罪 奇幻
                        ",警恶惩奸，维护世界和平这个任务就交给你了，好吗？,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2219011938.jpg
第六感,106,8.9,"
                            导演: M·奈特·沙马兰 M. Night Shyamalan   主演: 布鲁斯·威利斯 Bruce Wi...
                            1999 / 美国 / 剧情 悬疑 惊悚
                        ",深入内心的恐怖，出人意料的结局。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2220184425.jpg
阳光灿烂的日子,107,8.8,"
                            导演: 姜文 Wen Jiang   主演: 夏雨 Yu Xia / 宁静 Jing Ning / 陶虹 Hong Tao
                            1994 / 中国大陆 中国香港 / 剧情 爱情
                        ",一场华丽的意淫。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2564685215.jpg
重庆森林,108,8.8,"
                            导演: 王家卫 Kar Wai Wong   主演: 林青霞 Brigitte Lin / 金城武 Takeshi K...
                            1994 / 中国香港 / 剧情 爱情
                        ",寂寞没有期限。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p792381411.jpg
唐伯虎点秋香,109,8.7,"
                            导演: 李力持 Lik-Chi Lee   主演: 周星驰 Stephen Chow / 巩俐 Li Gong / 陈...
                            1993 / 中国香港 / 喜剧 爱情 古装
                        ",华太师是黄霑，吴镇宇四大才子之一。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2357915564.jpg
爱在黎明破晓前,110,8.8,"
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...
                            1995 / 美国 奥地利 瑞士 / 剧情 爱情
                        ",缘分是个连绵词，最美不过一瞬。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2555762374.jpg
人生果实,111,9.5,"
                            导演: 伏原健之 Kenshi Fushihara   主演: 津端修一 Shûichi Tsubata / 津...
                            2017 / 日本 / 纪录片
                        ",土壤没有落叶不会肥沃，没有了你就不算人生。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2544912792.jpg
一一,112,9.1,"
                            导演: 杨德昌 Edward Yang   主演: 吴念真 / 李凯莉 Kelly Lee / 金燕玲 Elai...
                            2000 / 中国台湾 日本 / 剧情 爱情 家庭
                        ",我们都曾经是一一。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2567845803.jpg
蝙蝠侠：黑暗骑士崛起,113,8.8,"
                            导演: 克里斯托弗·诺兰 Christopher Nolan   主演: 克里斯蒂安·贝尔 Christ...
                            2012 / 美国 英国 / 剧情 动作 科幻 犯罪 惊悚
                        ",诺兰就是保证。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1706428744.jpg
小森林 冬春篇,114,9.0,"
                            导演: 森淳一 Junichi Mori   主演: 桥本爱 Ai Hashimoto / 三浦贵大 Takahir...
                            2015 / 日本 / 剧情
                        ",尊敬他人，尊敬你生活的这片土地，明白孤独是人生的常态。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215147728.jpg
菊次郎的夏天,115,8.8,"
                            导演: 北野武 Takeshi Kitano   主演: 北野武 Takeshi Kitano / 关口雄介 Yus...
                            1999 / 日本 / 剧情 喜剧
                        ",从没见过那么流氓的温柔，从没见过那么温柔的流氓。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2620392435.jpg
消失的爱人,116,8.7,"
                            导演: 大卫·芬奇 David Fincher   主演: 本·阿弗莱克 Ben Affleck / 罗莎蒙...
                            2014 / 美国 / 剧情 犯罪 悬疑 惊悚
                        ",年度最佳date movie。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2221768894.jpg
入殓师,117,8.9,"
                            导演: 泷田洋二郎 Yôjirô Takita   主演: 本木雅弘 Masahiro Motoki / ...
                            2008 / 日本 / 剧情
                        ",死可能是一道门，逝去并不是终结，而是超越，走向下一程。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2635433927.jpg
无人知晓,118,9.1,"
                            导演: 是枝裕和 Hirokazu Koreeda   主演: 柳乐优弥 Yûya Yagira / 北浦爱...
                            2004 / 日本 / 剧情
                        ",我的平常生活就是他人的幸福。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p661160053.jpg
哈利·波特与阿兹卡班的囚徒,119,8.8,"
                            导演: Alfonso Cuarón   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / Emma...
                            2004 / 英国 美国 / 奇幻 冒险
                        ",不一样的导演，不一样的哈利·波特。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910812549.jpg
超能陆战队,120,8.7,"
                            导演: 唐·霍尔 Don Hall / 克里斯·威廉姆斯 Chris Williams   主演: 斯科特...
                            2014 / 美国 / 喜剧 动作 科幻 动画 冒险
                        ",Balalala~~~,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2614500883.jpg
倩女幽魂,121,8.7,"
                            导演: 程小东 Siu-Tung Ching   主演: 张国荣 Leslie Cheung / 王祖贤 Joey W...
                            1987 / 中国香港 / 爱情 奇幻 武侠 古装
                        ",两张绝世的脸。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2414157745.jpg
侧耳倾听,122,8.9,"
                            导演: 近藤喜文 Yoshifumi Kondo   主演: 本名阳子 Youko Honna / 小林桂树 K...
                            1995 / 日本 / 剧情 爱情 动画
                        ",少女情怀总是诗。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p456692072.jpg
完美的世界,123,9.1,"
                            导演: 克林特·伊斯特伍德 Clint Eastwood   主演: 凯文·科斯特纳 Kevin Cos...
                            1993 / 美国 / 剧情 犯罪
                        ",坏人的好总是比好人的好来得更感人。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2190556408.jpg
借东西的小人阿莉埃蒂,124,8.8,"
                            导演: 米林宏昌 Hiromasa Yonebayashi   主演: 志田未来 Mirai Shida / 神木...
                            2010 / 日本 / 动画 奇幻 冒险
                        ",曾经的那段美好会沉淀为一辈子的记忆。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p617533616.jpg
甜蜜蜜,125,8.9,"
                            导演: 陈可辛 Peter Chan   主演: 黎明 Leon Lai / 张曼玉 Maggie Cheung / ...
                            1996 / 中国香港 / 剧情 爱情
                        ",相逢只要一瞬间，等待却像是一辈子。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2223011274.jpg
爱在日落黄昏时,126,8.9,"
                            导演: 理查德·林克莱特 Richard Linklater   主演: 伊桑·霍克 Ethan Hawke ...
                            2004 / 美国 法国 / 剧情 爱情
                        ",九年后的重逢是世俗和责任的交叠，没了悸动和青涩，沧桑而温暖。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2561542458.jpg
萤火之森,127,8.9,"
                            导演: 大森贵弘 Takahiro Omori   主演: 佐仓绫音 Ayane Sakura / 内山昂辉 K...
                            2011 / 日本 / 剧情 爱情 动画 奇幻
                        ",触不到的恋人。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1675053073.jpg
驯龙高手,128,8.7,"
                            导演: 迪恩·德布洛斯 Dean DeBlois / 克里斯·桑德斯 Chris Sanders   主演:...
                            2010 / 美国 / 动画 奇幻 冒险
                        ",和谐的生活离不开摸头与被摸头。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2210954024.jpg
玛丽和马克思,129,8.9,"
                            导演: 亚当·艾略特 Adam Elliot   主演: 托妮·科莱特 Toni Collette / 菲利...
                            2009 / 澳大利亚 美国 / 剧情 喜剧 动画
                        ",你是我最好的朋友，你是我唯一的朋友 。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p488255145.jpg
幸福终点站,130,8.8,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 汤姆·汉克斯 Tom Hanks...
                            2004 / 美国 / 喜剧 剧情 爱情
                        ",有时候幸福需要等一等。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p854757687.jpg
天书奇谭,131,9.2,"
                            导演: 王树忱 Shuchen Wang / 钱运达 Yunda Qian   主演: 丁建华 Jianhua Din...
                            1983(中国大陆) / 中国大陆 / 动画 奇幻
                        ",传奇的年代，醉人的童话。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2515539487.jpg
告白,132,8.7,"
                            导演: 中岛哲也 Tetsuya Nakashima   主演: 松隆子 Takako Matsu / 冈田将生 ...
                            2010 / 日本 / 剧情 悬疑
                        ",没有一人完全善，也没有一人完全恶。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p689520756.jpg
大鱼,133,8.8,"
                            导演: 蒂姆·波顿 Tim Burton   主演: 伊万·麦克格雷格 Ewan McGregor / 阿...
                            2003 / 美国 / 剧情 家庭 奇幻 冒险
                        ",抱着梦想而活着的人是幸福的，怀抱梦想而死去的人是不朽的。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p692813374.jpg
哈利·波特与密室,134,8.7,"
                            导演: Chris Columbus   主演: 丹尼尔·雷德克里夫 Daniel Radcliffe / 艾玛...
                            2002 / 美国 英国 德国 / 奇幻 冒险
                        ",魔法的密室之门已打开...,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1082651990.jpg
阳光姐妹淘,135,8.8,"
                            导演: 姜炯哲 Hyeong-Cheol Kang   主演: 沈恩京 Eun-kyung Shim / 闵孝琳 Hy...
                            2011 / 韩国 / 剧情 喜剧
                        ",再多各自牛逼的时光，也比不上一起傻逼的岁月。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1374786017.jpg
射雕英雄传之东成西就,136,8.7,"
                            导演: 刘镇伟 Jeffrey Lau   主演: 梁朝伟 Tony Leung Chiu Wai / 林青霞 Bri...
                            1993 / 中国香港 / 喜剧 奇幻 武侠 古装
                        ",百看不厌。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2609063925.jpg
怪兽电力公司,137,8.7,"
                            导演: 彼特·道格特 Pete Docter / 大卫·斯沃曼 David Silverman   主演: 约...
                            2001 / 美国 / 儿童 喜剧 动画 奇幻 冒险
                        ",不要给它起名字，起了名字就有感情了。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2513247938.jpg
恐怖直播,138,8.7,"
                            导演: 金秉祐 Byeong-woo Kim   主演: 河正宇 Jung-woo Ha / 李璟荣 Kyeong-y...
                            2013 / 韩国 / 剧情 犯罪 悬疑
                        ",恐怖分子的“秋菊打官司”。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016930906.jpg
神偷奶爸,139,8.6,"
                            导演: 皮艾尔·柯芬 Pierre Coffin / 克里斯·雷纳德 Chris Renaud   主演: ...
                            2010 / 美国 法国 / 喜剧 动画 冒险
                        ",Mr. I Don't Care其实也有Care的时候。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p792776858.jpg
时空恋旅人,140,8.8,"
                            导演: 理查德·柯蒂斯 Richard Curtis   主演: 多姆纳尔·格里森 Domhnall Gl...
                            2013 / 英国 / 喜剧 爱情 奇幻
                        ",把每天当作最后一天般珍惜度过，积极拥抱生活，就是幸福。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2070153774.jpg
玩具总动员3,141,8.9,"
                            导演: 李·昂克里奇 Lee Unkrich   主演: 汤姆·汉克斯 Tom Hanks / 蒂姆·艾...
                            2010 / 美国 / 喜剧 动画 奇幻 冒险
                        ",跨度十五年的欢乐与泪水。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1283675359.jpg
傲慢与偏见,142,8.7,"
                            导演: 乔·怀特 Joe Wright   主演: 凯拉·奈特莉 Keira Knightley / 马修·...
                            2005 / 法国 英国 美国 / 剧情 爱情
                        ",爱是摈弃傲慢与偏见之后的曙光。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2016401659.jpg
教父3,143,9.0,"
                            导演: 弗朗西斯·福特·科波拉 Francis Ford Coppola   主演: 阿尔·帕西诺 A...
                            1990 / 美国 / 剧情 犯罪
                        ",任何信念的力量，都无法改变命运。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2169664351.jpg
釜山行,144,8.6,"
                            导演: 延尚昊 Sang-ho Yeon   主演: 孔侑 Yoo Gong / 郑有美 Yu-mi Jung / 马...
                            2016 / 韩国 / 动作 惊悚 灾难
                        ",揭露人性的丧尸题材力作。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2360940399.jpg
血战钢锯岭,145,8.7,"
                            导演: 梅尔·吉布森 Mel Gibson   主演: 安德鲁·加菲尔德 Andrew Garfield /...
                            2016 / 澳大利亚 美国 / 剧情 传记 历史 战争
                        ",优秀的战争片不会美化战场，不会粉饰死亡，不会矮化敌人，不会无视常识，最重要的，不会宣扬战争。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2398141939.jpg
哪吒闹海,146,9.1,"
                            导演: 严定宪 Dingxian Yan / 王树忱 Shuchen Wang   主演: 梁正晖 Zhenghui ...
                            1979 / 中国大陆 / 冒险 动画 奇幻
                        ",想你时你在闹海。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2532803206.jpg
一个叫欧维的男人决定去死,147,8.9,"
                            导演: 汉内斯·赫尔姆 Hannes Holm   主演: 罗夫·拉斯加德 Rolf Lassgård...
                            2015 / 瑞典 / 剧情
                        ",惠及一生的美丽。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2406624993.jpg
被解救的姜戈,148,8.8,"
                            导演: 昆汀·塔伦蒂诺 Quentin Tarantino   主演: 杰米·福克斯 Jamie Foxx /...
                            2012 / 美国 / 剧情 动作 西部 冒险
                        ",热血沸腾，那个低俗、性感的无耻混蛋又来了。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1800813767.jpg
七武士,149,9.3,"
                            导演: 黑泽明 Akira Kurosawa   主演: 三船敏郎 Toshirô Mifune / 志村乔 ...
                            1954 / 日本 / 动作 冒险 剧情
                        ",时代悲歌。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2215886505.jpg
未麻的部屋,150,9.0,"
                            导演: 今敏 Satoshi Kon   主演: 岩男润子 Junko Iwao / 松本梨香 Rica Matsu...
                            1997 / 日本 / 动画 奇幻 惊悚
                        ",好的剧本是，就算你猜到了结局也猜不到全部。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1351050722.jpg
喜宴,151,8.9,"
                            导演: 李安 Ang Lee   主演: 赵文瑄 Winston Chao / 郎雄 Sihung Lung / 归亚...
                            1993 / 中国台湾 美国 / 剧情 喜剧 爱情 同性 家庭
                        ",中国家庭的喜怒哀乐忍。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2249048907.jpg
我是山姆,152,9.0,"
                            导演: 杰茜·尼尔森 Jessie Nelson   主演: Sean Penn / Dakota Fanning / Mi...
                            2001 / 美国 / 剧情 家庭
                        ",爱并不需要智商 。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p652417775.jpg
头号玩家,153,8.7,"
                            导演: 史蒂文·斯皮尔伯格 Steven Spielberg   主演: 泰伊·谢里丹 Tye Sheri...
                            2018 / 美国 / 动作 科幻 冒险
                        ",写给影迷，动漫迷和游戏迷的一封情书。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2516578307.jpg
电锯惊魂,154,8.7,"
                            导演: 詹姆斯·温 James Wan   主演: 雷·沃纳尔 Leigh Whannell / 加利·艾...
                            2004 / 美国 / 悬疑 惊悚 恐怖
                        ",真相就在眼前。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p726839485.jpg
风之谷,155,8.9,"
                            导演: 宫崎骏 Hayao Miyazaki   主演: 岛本须美 Sumi Shimamoto / 松田洋治 Y...
                            1984 / 日本 / 动画 奇幻 冒险
                        ",动画片的圣经。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1917567652.jpg
上帝之城,156,9.0,"
                            导演: 费尔南多·梅里尔斯 Fernando Meirelles / 卡迪亚·兰德 Kátia Lund  &nbsp...
                            2002 / 巴西 法国 / 犯罪 剧情
                        ",被上帝抛弃了的上帝之城。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p455677490.jpg
英雄本色,157,8.7,"
                            导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 狄龙 Lung Ti / 张国...
                            1986 / 中国香港 / 剧情 动作 犯罪
                        ",英雄泪短，兄弟情长。 ,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2504997087.jpg
卢旺达饭店,158,8.9,"
                            导演: 特瑞·乔治 Terry George   主演: 唐·钱德尔 Don Cheadle / 苏菲·奥...
                            2004 / 英国 南非 意大利 / 剧情 传记 历史 战争
                        ",当这个世界闭上双眼，他却敞开了怀抱。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p470419493.jpg
疯狂原始人,159,8.7,"
                            导演: 科克·德·米科 Kirk De Micco / 克里斯·桑德斯 Chris Sanders   主演...
                            2013 / 美国 / 喜剧 动画 冒险
                        ",老少皆宜，这就是好莱坞动画的魅力。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1867084027.jpg
谍影重重3,160,8.8,"
                            导演: 保罗·格林格拉斯 Paul Greengrass   主演: 马特·达蒙 Matt Damon / ...
                            2007 / 美国 德国 / 动作 悬疑 惊悚
                        ",像吃了苏打饼一样干脆的电影。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p792223507.jpg
三块广告牌,161,8.7,"
                            导演: 马丁·麦克唐纳 Martin McDonagh   主演: 弗兰西斯·麦克多蒙德 France...
                            2017 / 美国 英国 / 剧情 犯罪
                        ",怼天怼地，你走后，她与世界为敌。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2510081688.jpg
新世界,162,8.9,"
                            导演: 朴勋政 Hoon-jung Park   主演: 李政宰 Jung-Jae Lee / 崔岷植 Min-sik...
                            2013 / 韩国 / 剧情 犯罪
                        ",要做就做得狠一点，这样才能活下去。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1903379979.jpg
花样年华,163,8.7,"
                            导演: 王家卫 Kar Wai Wong   主演: 梁朝伟 Tony Leung Chiu Wai / 张曼玉 Ma...
                            2000 / 中国香港 / 剧情 爱情
                        ",偷情本没有这样美。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p1910828286.jpg
模仿游戏,164,8.7,"
                            导演: 莫滕·泰杜姆 Morten Tyldum   主演: 本尼迪克特·康伯巴奇 Benedict C...
                            2014 / 英国 美国 / 剧情 传记 战争 同性
                        ",他给机器起名“克里斯托弗”，因为这是他初恋的名字。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2255040492.jpg
纵横四海,165,8.8,"
                            导演: 吴宇森 John Woo   主演: 周润发 Yun-Fat Chow / 张国荣 Leslie Cheung...
                            1991 / 中国香港 / 剧情 喜剧 动作 犯罪
                        ",香港浪漫主义警匪动作片的巅峰之作。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p2597918718.jpg
黑客帝国3：矩阵革命,166,8.8,"
                            导演: 拉娜·沃卓斯基 Lana Wachowski / 莉莉·沃卓斯基 Lilly Wachowski   ...
                            2003 / 美国 / 动作 科幻
                        ",不得不说，《黑客帝国》系列是商业片与科幻、哲学完美结合的典范。,https://img9.doubanio.com/view/photo/s_ratio_poster/public/p443461818.jpg
